sku,barcode,name,brand,category,subcategory,mrp,selling_price,stock,image,specifications
TECH-APL-001,8901234001,Apple iPhone 15 Pro 128GB,Apple,Electronics,Smartphones,134900.00,124900.00,2,https://images.unsplash.com/photo-1695048133142-1a20484d2569?auto=format&fit=crop&w=800&q=80,"{""Display"": ""6.1-inch Super Retina XDR"", ""Processor"": ""A17 Pro Chip"", ""Storage"": ""128GB"", ""Camera"": ""48MP Triple System""}"
TECH-SAM-002,8901234002,Samsung Galaxy S24 Ultra 256GB,Samsung,Electronics,Smartphones,129999.00,119999.00,2,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80,"{""Display"": ""6.8-inch Dynamic AMOLED 2X"", ""Processor"": ""Snapdragon 8 Gen 3"", ""Storage"": ""256GB"", ""Camera"": ""200MP Quad Camera""}"
TECH-APL-003,8901234003,Apple MacBook Air M3 13-inch,Apple,Electronics,Laptops,114900.00,104900.00,6,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=800&q=80,"{""Display"": ""13.6-inch Liquid Retina"", ""Chip"": ""Apple M3 8-core CPU"", ""Memory"": ""16GB Unified RAM"", ""Storage"": ""512GB SSD""}"
TECH-DEL-004,8901234004,Dell XPS 15 9530 Laptop,Dell,Electronics,Laptops,189990.00,169990.00,1,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?auto=format&fit=crop&w=800&q=80,"{""Display"": ""15.6-inch OLED 3.5K Touch"", ""Processor"": ""Intel Core i9-13900H"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB NVMe SSD""}"
TECH-SON-005,8901234005,Sony WH-1000XM5 Wireless Headphones,Sony,Audio,Headphones,34990.00,28990.00,0,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"{""Driver"": ""30mm Carbon Fiber"", ""Noise Cancelling"": ""Industry-leading ANC"", ""Battery"": ""30 Hours with ANC"", ""Bluetooth"": ""v5.2 LDAC""}"
TECH-BOS-006,8901234006,Bose QuietComfort Ultra Headphones,Bose,Audio,Headphones,35900.00,31900.00,1,https://images.unsplash.com/photo-1546435770-a3e426bf472b?auto=format&fit=crop&w=800&q=80,"{""Immersive Audio"": ""Spatialized Audio Engine"", ""Battery"": ""Up to 24 Hours"", ""Microphones"": ""Advanced Voice Pickup"", ""Connectivity"": ""Bluetooth 5.3""}"
TECH-APL-007,8901234007,Apple AirPods Pro 2nd Gen USB-C,Apple,Audio,Earbuds,24900.00,20900.00,8,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?auto=format&fit=crop&w=800&q=80,"{""Chip"": ""Apple H2 Headphone Chip"", ""Noise Cancellation"": ""Active Noise Cancellation with Transparency"", ""Charging"": ""MagSafe USB-C Case"", ""Rating"": ""IP54 Dust & Sweat Resistant""}"
TECH-SON-008,8901234008,Sony WF-1000XM5 Noise Canceling Earbuds,Sony,Audio,Earbuds,29990.00,24990.00,5,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80,"{""Processors"": ""Integrated Processor V2 + QN2e"", ""Microphones"": ""6 Microphones System"", ""Battery"": ""8h earbuds + 16h case"", ""Water Resistance"": ""IPX4""}"
TECH-APL-009,8901234009,Apple Watch Series 9 GPS 45mm,Apple,Wearables,Smartwatches,44900.00,39900.00,4,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80,"{""Case Size"": ""45mm Midnight Aluminum"", ""Display"": ""Always-On Retina 2000 nits"", ""Chip"": ""S9 SiP with Double Tap Gesture"", ""Sensors"": ""Blood Oxygen & ECG""}"
TECH-SAM-010,8901234010,Samsung Galaxy Watch 6 Classic 47mm,Samsung,Wearables,Smartwatches,40999.00,33999.00,5,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?auto=format&fit=crop&w=800&q=80,"{""Bezel"": ""Rotating Stainless Steel Bezel"", ""Display"": ""1.5-inch Sapphire Crystal"", ""Health"": ""Sleep Coaching & Heart Rate"", ""Battery"": ""Up to 40 hours""}"
TECH-LOG-011,8901234011,Logitech MX Master 3S Wireless Mouse,Logitech,Accessories,Peripherals,10995.00,8995.00,12,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?auto=format&fit=crop&w=800&q=80,"{""Sensor"": ""8000 DPI Darkfield Laser"", ""Quiet Clicks"": ""90% Noise Reduction"", ""Scroll Wheel"": ""MagSpeed Electromagnetic"", ""Battery"": ""Up to 70 days per charge""}"
TECH-LOG-012,8901234012,Logitech MX Mechanical Wireless Keyboard,Logitech,Accessories,Peripherals,17495.00,14995.00,7,https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=800&q=80,"{""Switch Type"": ""Tactile Quiet Low Profile Mechanical"", ""Backlighting"": ""Smart Illumination"", ""Multi-Device"": ""Pair up to 3 Devices"", ""Battery"": ""15 days or 10 months without backlight""}"
TECH-ANK-013,8901234013,Anker 735 GaNPrime 65W Fast Charger,Anker,Accessories,Chargers,4999.00,3999.00,15,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?auto=format&fit=crop&w=800&q=80,"{""Output"": ""65W High-Speed Output"", ""Ports"": ""2x USB-C + 1x USB-A"", ""Technology"": ""GaNPrime PowerIQ 4.0"", ""Protection"": ""ActiveShield 2.0 Dynamic Temp Monitoring""}"
TECH-SAM-014,8901234014,Samsung T7 Shield 1TB Portable SSD,Samsung,Accessories,Storage,13999.00,10499.00,9,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?auto=format&fit=crop&w=800&q=80,"{""Speed"": ""Up to 1050 MB/s Read / 1000 MB/s Write"", ""Interface"": ""USB 3.2 Gen 2 Type-C"", ""Durability"": ""IP65 Water & Dust Resistant, 3m Drop"", ""Security"": ""AES 256-bit Hardware Encryption""}"
TECH-APL-015,8901234015,Apple iPad Pro 11-inch M4 256GB,Apple,Electronics,Tablets,99900.00,94900.00,0,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80,"{""Display"": ""Ultra Retina XDR Tandem OLED"", ""Chip"": ""Apple M4 Chip"", ""Storage"": ""256GB"", ""Thickness"": ""Ultra-thin 5.3mm""}"
TECH-DEL-016,8901234016,Dell UltraSharp 27 4K USB-C Hub Monitor,Dell,Electronics,Monitors,59900.00,49900.00,3,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=800&q=80,"{""Resolution"": ""4K UHD 3840 x 2160"", ""Panel"": ""IPS Black with 2000:1 Contrast"", ""Connectivity"": ""90W USB-C Power Delivery, RJ45"", ""Color"": ""100% sRGB, 98% DCI-P3""}"
